NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,417.67
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,442.11
b38a03232f43b11c9d0788abaf060f7366053b6d,591.93
715494628a50142ce8cb17191cfe6d0f3cae0934,506.74
e656d6bad65c93fb2880f1eba5037008c8e75774,467.08
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,520.27
11539e86171bf07d3a36f09377d7f54ebcc8406a,427.01
043c544a2104aa8a9849f1a703a08d37a2f16839,483.8
76ba050e64ad100b856f0eaabd8f539d5c7dd185,440.58
940aede382ccb332fab15d413217695ec44ca765,444.65
9ad714b116da76d878dd399d187fccc2dd13dd63,579.31
dd34464a4d780b12a089347ad580418ac57a3055,529.73
f837a4cb05a5fd59d20138182f5e8c721eadd584,451.86
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,412.76
3d203727f27abd83b71732d88d8cb1cc099f363b,433.51
cbc301183dec912f3513ca766bf03dd565f3a38f,458.77
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,663.85
11282da1ee78c8db45a041db4c744e33df489df0,432.66
03c67f683a415c2ea09b582248bd4cb08528c19d,599.43
046e844fb06a07ba30b41521f0065a8d9c6e5024,414.96
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,423.85
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,417.41
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,559.66
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,475.06
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,506.32
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,479.28
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,443.31
59bfa081e020013410d9f60f91813964ba749bb2,421.16
f5e069ee3bc95998464e8ff5da048b7f999921ed,433.47
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,639.94
664f44258212a1f7e4086f2b4845d586c543fa3f,471.0
265cd7befa74a9f2a198fc57baec9858075f8419,427.48
6f9ac44919bbd204e0ef15185388fd2d4bc61253,487.63
78de1ee60b55766cc3eba4089e36c57139b66ebd,446.8
1e61a474acdc043eb39a89c17fab34bd2ea1a940,419.09
940af68ded6af2875708611051aa7ff3f134d80b,486.91
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,483.4
