EMPRESA|ESPECIE|SERIE|NUMERO|PARCELA|VALOR
53|NFE|1  |   59677|01|       712,00
51|NFE|1  |  490871|01|       115,04
51|NFE|1  |  490891|01|       140,00
51|NFE|1  |  490849|01|     2.075,33
51|NFE|1  |  490851|01|     1.400,00
51|NFE|1  |  490955|01|     3.500,00
53|NFE|1  |   59710|01|       224,70
51|NFE|1  |  490950|01|       247,74
51|NFE|1  |  490938|01|       350,00
53|NFE|1  |   59709|01|       224,70
53|NFE|1  |   59711|01|       224,70
53|NFE|1  |   59707|01|       192,00
53|NFE|1  |   59662|01|     2.400,00
53|NFE|1  |   59688|01|       700,00
51|NFE|1  |  490905|01|        75,00
51|NFE|1  |  490932|01|       176,12
51|NFE|1  |  490940|01|       140,00
51|NFE|1  |  490962|01|       141,12
51|NFE|1  |  490843|01|       272,00
51|NFE|1  |  490844|01|       135,00
53|NFE|1  |   59700|01|       225,00
53|NFE|1  |   59717|01|       578,00
51|NFE|1  |  490985|01|        14,05
53|NFE|1  |   59690|01|       222,00
53|NFE|1  |   59691|01|       252,00
53|NFE|1  |   59692|01|       252,00
51|NFE|1  |  490949|01|        28,00
51|NFE|1  |  490953|01|        44,00
51|NFE|1  |  490889|01|       210,00
53|NFE|1  |   59766|01|       222,00
51|NFE|1  |  490969|01|       280,00
51|NFE|1  |  490964|01|       120,89
51|NFE|1  |  490974|01|       511,88
51|NFE|1  |  490937|01|       648,00
51|NFE|1  |  490872|01|        72,50
51|NFE|1  |  490880|01|       135,80
53|NFE|1  |   59714|01|       224,70
53|NFE|1  |   59722|01|       302,17
53|NFE|1  |   59723|01|       216,00
53|NFE|1  |   59724|01|       216,00
53|NFE|1  |   59725|01|       216,00
53|NFE|1  |   59760|01|       540,00
53|NFE|1  |   59726|01|       216,00
53|NFE|1  |   59727|01|       540,00
53|NFE|1  |   59728|01|       300,00
53|NFE|1  |   59729|01|       360,00
53|NFE|1  |   59730|01|       216,00
53|NFE|1  |   59731|01|       216,00
53|NFE|1  |   59732|01|       216,00
53|NFE|1  |   59733|01|       600,00
53|NFE|1  |   59734|01|       360,00
53|NFE|1  |   59735|01|       216,00
53|NFE|1  |   59736|01|       216,00
53|NFE|1  |   59737|01|       216,00
53|NFE|1  |   59738|01|       216,00
53|NFE|1  |   59739|01|       216,00
53|NFE|1  |   59740|01|       216,00
53|NFE|1  |   59741|01|       216,00
53|NFE|1  |   59742|01|       216,00
53|NFE|1  |   59743|01|       600,00
53|NFE|1  |   59744|01|       216,00
53|NFE|1  |   59745|01|       216,00
53|NFE|1  |   59746|01|       216,00
53|NFE|1  |   59747|01|       216,00
53|NFE|1  |   59748|01|       216,00
53|NFE|1  |   59749|01|       360,00
53|NFE|1  |   59750|01|       216,00
53|NFE|1  |   59751|01|       216,00
53|NFE|1  |   59752|01|       420,00
51|NFE|1  |  490834|01|       808,20
51|NFE|1  |  490924|01|       107,40
51|NFE|1  |  490934|01|       872,34
51|NFE|1  |  490934|02|       872,32
51|NFE|1  |  490934|03|       872,32
53|NFE|1  |   59693|01|     1.157,00
53|NFE|1  |   59719|01|     3.000,00
53|NFE|1  |   59753|01|       570,00
53|NFE|1  |   59657|01|     2.100,00
53|NFE|1  |   59695|01|     1.459,61
53|NFE|1  |   59699|01|       225,00
51|NFE|1  |  490874|01|       491,51
53|NFE|1  |   59720|01|       222,00
53|NFE|1  |   59675|01|       772,60
53|NFE|1  |   59686|01|       772,60
51|NFE|1  |  490854|01|       354,00
51|NFE|1  |  490876|01|       140,00
53|NFE|1  |   59696|01|       600,00
51|NFE|1  |  491027|01|        81,00
53|NFE|1  |   59682|01|       700,00
51|NFE|1  |  490981|01|       401,92
53|NFE|1  |   59697|01|       772,60
53|NFE|1  |   59681|01|       700,00
51|NFE|1  |  490943|01|       879,60
51|NFE|1  |  490909|01|       223,74
51|NFE|1  |  490850|01|       244,30
51|NFE|1  |  490952|01|       168,89
56|NFC|1  |   71314|01|       320,50
56|NFC|1  |   71319|01|       140,00
56|NFC|1  |   71353|01|        20,00
56|NFC|1  |   71362|01|        56,00
56|NFC|1  |   71399|01|        30,00
56|NFC|1  |   71404|01|       140,00
56|NFC|1  |   71468|01|       540,80
56|NFC|1  |   71469|01|       491,20
56|NFC|1  |   71497|01|         5,50
56|NFC|1  |   71592|01|        68,00
56|VEN|   |  555917|01|        12,00
56|VEN|   |  555928|01|         3,48
56|VEN|   |  555932|01|        83,02
56|VEN|   |  555937|01|         5,00
56|VEN|   |  555938|01|        41,51
56|VEN|   |  555940|01|        18,00
56|VEN|   |  555941|01|       188,00
56|VEN|   |  555961|01|       140,00
56|VEN|   |  555963|01|       140,00
56|VEN|   |  555967|01|        80,00
56|VEN|   |  555971|01|        35,00
56|VEN|   |  555980|01|       140,00
56|VEN|   |  555994|01|       243,00
56|VEN|   |  555996|01|       140,00
56|VEN|   |  556009|01|        70,00
56|VEN|   |  556012|01|        70,00
56|VEN|   |  556026|01|        63,00
56|VEN|   |  556027|01|        14,00
56|VEN|   |  556035|01|       140,00
56|VEN|   |  556036|01|       140,00
56|VEN|   |  556046|01|        29,50
56|VEN|   |  556048|01|       140,00
56|VEN|   |  556050|01|       140,00
56|VEN|   |  556057|01|       140,00
56|VEN|   |  556061|01|       140,00
56|VEN|   |  556067|01|       140,00
56|VEN|   |  556077|01|       140,00
56|VEN|   |  556083|01|        17,00
56|VEN|   |  556095|01|        55,50
56|VEN|   |  556096|01|       140,00
56|VEN|   |  556097|01|        59,00
56|VEN|   |  556105|01|       140,00
56|VEN|   |  556129|01|         7,00
56|VEN|   |  556138|01|       500,00
56|VEN|   |  556139|01|        90,00
56|VEN|   |  556148|01|        14,00
56|VEN|   |  556149|01|       140,00
56|VEN|   |  556151|01|       140,00
56|VEN|   |  556156|01|       166,93
56|VEN|   |  556157|01|        26,93
56|VEN|   |  556170|01|       171,72
56|VEN|   |  556172|01|        98,00
56|VEN|   |  556173|01|        20,50
56|VEN|   |  556236|01|        23,20
56|VEN|   |  556246|01|         4,00
56|VEN|   |  556249|01|         6,96
56|VEN|   |  556253|01|        76,00
56|VEN|   |  556254|01|         6,40
56|VEN|   |  556260|01|         2,00
56|VEN|   |  556263|01|        44,00
56|VEN|   |  556264|01|       155,52
56|VEN|   |  556268|01|         2,20
56|VEN|   |  556270|01|         3,69
56|VEN|   |  556283|01|        16,00
56|VEN|   |  556290|01|        92,00
56|VEN|   |  556308|01|        63,00
51|NFE|1  |  490895|01|       850,50
51|NFE|1  |  490857|01|       176,12
53|NFE|1  |   59663|01|     2.100,00
51|VEN|   |  704690|01|       140,00
51|NFE|1  |  490893|01|       165,62
51|NFE|1  |  490939|01|       140,00
51|NFE|1  |  490941|01|       140,00
51|NFE|1  |  490870|01|       144,66
51|NFE|1  |  490986|01|       315,00
51|NFE|1  |  490847|01|       144,41
51|NFE|1  |  490868|01|       805,00
53|NFE|1  |   59670|01|       600,00
51|NFE|1  |  490862|01|       384,00
51|NFE|1  |  490900|01|       253,52
51|NFE|1  |  490840|01|       209,21
51|NFE|1  |  490956|01|     2.100,00
51|NFE|1  |  490917|01|       700,00
51|NFE|1  |  490908|01|       140,00
51|NFE|1  |  490830|01|       208,00
51|NFE|1  |  490830|02|       208,00
53|NFE|1  |   59689|01|       810,90
51|NFE|1  |  490824|01|       275,31
53|NFE|1  |   59668|01|     2.400,00
53|NFE|1  |   59680|01|     1.400,00
51|NFE|1  |  490922|01|       195,00
51|NFE|1  |  490923|01|       929,29
53|NFE|1  |   59773|01|     1.289,99
51|NFE|1  |  490897|01|       750,64
56|VEN|   |  556080|01|        10,00
51|NFE|1  |  490958|01|       467,13
51|NFE|1  |  490831|01|       136,95
51|NFE|1  |  490882|01|       140,00
51|NFE|1  |  490884|01|       140,00
51|NFE|1  |  490903|01|       172,06
51|NFE|1  |  490984|01|        80,65
51|NFE|1  |  490983|01|     5.795,22
51|NFE|1  |  490959|01|       700,00
51|NFE|1  |  490861|01|       588,00
53|NFE|1  |   59660|01|     6.363,00
51|NFE|1  |  490975|01|       224,70
53|NFE|1  |   59664|01|     2.100,00
51|NFE|1  |  490835|01|       139,00
56|VEN|   |  556275|01|        66,28
51|NFE|1  |  490892|01|       350,00
53|NFE|1  |   59676|01|       426,00
53|NFE|1  |   59678|01|       453,70
51|NFE|1  |  490966|01|       575,74
56|VEN|   |  556297|01|         5,97
51|NFE|1  |  490933|01|       290,00
53|NFE|1  |   59754|01|     7.000,00
53|NFE|1  |   59757|01|     7.000,00
53|NFE|1  |   59761|01|     1.400,00
51|NFE|1  |  490976|01|       160,46
51|NFE|1  |  490965|01|     2.128,00
53|NFE|1  |   59671|01|       495,00
53|NFE|1  |   59672|01|       600,00
51|NFE|1  |  490864|01|       140,00
53|VEN|   |   67898|01|       700,00
56|NFE|1  |    5868|01|     2.585,50
53|NFE|1  |   59669|01|       600,00
51|NFE|1  |  490877|01|       140,00
51|NFE|1  |  490841|01|       295,96
53|NFE|1  |   59685|01|     5.600,00
53|NFE|1  |   59658|01|     2.250,00
53|NFE|1  |   59658|02|     2.250,00
51|NFE|6  |     970|01|     1.745,82
51|NFE|6  |     971|01|     1.978,11
51|NFE|1  |  490907|01|       288,86
51|NFE|1  |  490957|01|       101,60
51|NFE|1  |  490907|02|       288,86
51|NFE|1  |  490954|01|       212,74
51|NFE|1  |  491033|01|       174,80
51|NFE|1  |  490914|01|       786,03
53|NFE|1  |   59661|01|       140,00
51|NFE|1  |  490836|01|        98,00
51|NFE|1  |  490826|01|     1.311,82
53|NFE|1  |   59667|01|       920,00
51|NFE|1  |  491020|01|       140,00
53|NFE|1  |   59755|01|     2.973,21
53|NFE|1  |   59755|02|     2.973,20
53|NFE|1  |   59715|01|       189,52
51|NFE|1  |  490948|01|       126,50
51|NFE|1  |  490898|01|       315,75
51|NFE|1  |  490904|01|        71,12
51|NFE|1  |  490898|02|       315,75
51|NFE|1  |  490873|01|       140,00
53|NFE|1  |   59703|01|       252,00
53|NFE|1  |   59704|01|       252,00
53|NFE|1  |   59706|01|       252,00
53|NFE|1  |   59705|01|       252,00
53|NFE|1  |   59687|01|     1.400,00
53|NFE|1  |   59772|01|       700,00
53|NFE|1  |   59673|01|       600,00
53|NFE|1  |   59702|01|       150,00
51|NFE|1  |  490963|01|        75,02
51|NFE|1  |  490881|01|       195,04
53|NFE|1  |   59713|01|       224,70
53|NFE|1  |   59718|01|       578,00
51|NFE|1  |  491018|01|       186,04
51|NFE|1  |  490833|01|       140,00
51|NFE|1  |  490860|01|       218,00
51|NFE|1  |  490946|01|       140,00
51|NFE|1  |  490945|01|       359,13
51|NFE|1  |  490945|02|       359,12
53|NFE|1  |   59674|01|     1.200,00
51|NFE|1  |  490887|01|        15,00
53|NFE|1  |   59756|01|       700,00
56|NFC|1  |   71518|01|        65,26
51|NFE|1  |  490885|01|       140,00
53|NFE|1  |   59665|01|     1.200,00
53|NFE|1  |   59666|01|       300,00
53|NFE|1  |   59665|02|     1.200,00
53|NFE|1  |   59666|02|       300,00
51|NFE|1  |  490883|01|       235,00
56|NFC|1  |   71216|01|       140,00
56|NFC|1  |   71223|01|        70,00
56|NFC|1  |   71232|01|       140,00
56|NFC|1  |   71236|01|        64,00
56|NFC|1  |   71246|01|       105,00
56|NFC|1  |   71252|01|       106,12
56|NFC|1  |   71253|01|       315,72
56|NFC|1  |   71262|01|        28,00
56|NFC|1  |   71295|01|       105,00
56|NFC|1  |   71299|01|       140,00
56|NFC|1  |   71301|01|       140,00
56|NFC|1  |   71302|01|       140,00
56|NFC|1  |   71303|01|       145,06
56|NFC|1  |   71305|01|       180,02
56|NFC|1  |   71311|01|       120,00
56|NFC|1  |   71315|01|       140,00
56|NFC|1  |   71322|01|       140,00
56|NFC|1  |   71326|01|       140,00
56|NFC|1  |   71338|01|       140,00
56|NFC|1  |   71342|01|       140,00
56|NFC|1  |   71344|01|       206,00
