DATA|EM|NUMERO|VENDEDOR|CLIENTE|VALOR
28/12/2010|51|  151804|EDILSON        |FUNDACAO UNIVERSIDADE D|    1.955,89
10/06/2011|51|  184000|EDILSON        |FUNDACAO UNIVERSIDADE D|      396,92
07/04/2012|51|  234193|MARCOS MADUREIR|FUNDO MUNICIPAL DO MEIO|      367,44
23/04/2012|51|  236719|EDILSON        |FUNDACAO UNIVERSIDADE D|    1.223,80
16/07/2012|51|  251591|EDSON          |PETROBRAS DISTRIBUIDORA|      272,88
25/07/2012|51|  253072|EDSON          |PETROBRAS DISTRIBUIDORA|      379,76
25/07/2012|51|  253173|REGINALDO      |VF GAS LTDA            |       39,00
01/08/2012|51|  254522|ASSIS          |VIA DELTA CONSTRUTORA L|       23,24
04/08/2012|51|  255157|EDSON          |PETROBRAS DISTRIBUIDORA|    1.463,20
09/08/2012|51|  256048|ASSIS          |VIA DELTA CONSTRUTORA L|        5,34
09/08/2012|51|  256211|EDSON          |CONBRAS ENGENHARIA LTDA|      739,48
13/09/2012|51|  262531|ANSELMO        |ANSELMO F.DE PAULA-COM.|       87,28
21/09/2012|51|  263920|ASSIS          |VIA DELTA CONSTRUTORA L|       18,98
28/09/2012|51|  265308|ASSIS          |PREMOTECNO INDUSTRIA DE|       13,80
02/10/2012|51|  265788|EDSON          |PETROBRAS DISTRIBUIDORA|      696,72
03/10/2012|51|  266091|EDILSON        |CONSTRUTORA PEDROSO LTD|       60,00
16/10/2012|51|  268408|ANSELMO        |CEB DISTRIBUICAO S/A   |      172,00
31/10/2012|51|  271254|ADRIANO        |BSB AUTOMACAO INDUSTRIA|      178,36
08/11/2012|51|  272636|ADRIANO        |BSB AUTOMACAO INDUSTRIA|    1.446,03
06/12/2012|51|  277576|EDMILSON       |BRASAL REFRIGERANTES S/|      287,50
27/12/2012|51|  280466|GEOVANE        |VOTORANTIM CIMENTOS S.A|      342,00
03/01/2013|51|  281041|EDMILSON       |DELTA ENGENHARIA IND. E|      340,12
