Centro;Material;Descri‡Æo do Material;C¢digo SKF;tt;;
0002;123790;ROL GRAE 50 NPPB (G210V22+ER);YET 210;YET 210123790;;
0004;123790;ROL GRAE 50 NPPB (G210V22+ER);YET 210;YET 210123790;;
0009;123790;ROL GRAE 50 NPPB (G210V22+ER);YET 210;YET 210123790;;
0017;123790;ROL GRAE 50 NPPB (G210V22+ER);YET 210;YET 210123790;;
0022;123790;ROL GRAE 50 NPPB (G210V22+ER);YET 210;YET 210123790;;
0175;123790;ROL GRAE 50 NPPB (G210V22+ER);YET 210;YET 210123790;;
0002;48681;ROL YET 209;YET 209;YET 20948681;;
0004;48681;ROL YET 209;YET 209;YET 20948681;;
0009;48681;ROL YET 209;YET 209;YET 20948681;;
0014;48681;ROL YET 209;YET 209;YET 20948681;;
0017;48681;ROL YET 209;YET 209;YET 20948681;;
0022;48681;ROL YET 209;YET 209;YET 20948681;;
0024;48681;ROL YET 209;YET 209;YET 20948681;;
0026;48681;ROL YET 209;YET 209;YET 20948681;;
0029;48681;ROL YET 209;YET 209;YET 20948681;;
0031;48681;ROL YET 209;YET 209;YET 20948681;;
0032;48681;ROL YET 209;YET 209;YET 20948681;;
0188;322098;ROLAMENTO YA YET 209;YET 209;YET 209322098;;
0187;326776;ROLAMENTO GE 45UK 2RS ELGES;YET 209;YET 209326776;;
0188;326776;ROLAMENTO GE 45UK 2RS ELGES;YET 209;YET 209326776;;
0029;140468;ROL GRAE 1.1/2 208 V22;YET 208-108;YET 208-108140468;;
0002;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0004;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0009;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0014;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0017;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0020;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0022;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0024;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0026;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0029;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0031;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0032;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0145;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0187;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0188;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0002;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0004;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0009;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0014;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0017;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0020;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0022;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0024;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0026;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0029;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0031;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0032;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0145;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0186;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0187;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0188;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0189;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0190;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0002;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0004;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0009;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0014;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0017;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0024;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0026;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0031;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0032;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0145;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0186;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0187;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0188;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0189;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0190;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0190;315111;Rolamento RB GRA 208;YET 208;YET 208315111;;
0187;316514;Rolamento Es Grae 40;YET 208;YET 208316514;;
0189;316514;Rolamento Es Grae 40;YET 208;YET 208316514;;
0002;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0004;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0009;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0014;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0017;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0024;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0026;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0031;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0032;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0145;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0187;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0188;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0189;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0190;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0014;356800;ROLAMENTO GRA208300 FRM M;YET 208;YET 208356800;;
0002;42902;ROL YET 207;YET 207;YET 20742902;;
0004;42902;ROL YET 207;YET 207;YET 20742902;;
0009;42902;ROL YET 207;YET 207;YET 20742902;;
0014;42902;ROL YET 207;YET 207;YET 20742902;;
0017;42902;ROL YET 207;YET 207;YET 20742902;;
0022;42902;ROL YET 207;YET 207;YET 20742902;;
0024;42902;ROL YET 207;YET 207;YET 20742902;;
0026;42902;ROL YET 207;YET 207;YET 20742902;;
0029;42902;ROL YET 207;YET 207;YET 20742902;;
0031;42902;ROL YET 207;YET 207;YET 20742902;;
0032;42902;ROL YET 207;YET 207;YET 20742902;;
0145;42902;ROL YET 207;YET 207;YET 20742902;;
0187;42902;ROL YET 207;YET 207;YET 20742902;;
0188;42902;ROL YET 207;YET 207;YET 20742902;;
0189;42902;ROL YET 207;YET 207;YET 20742902;;
0190;42902;ROL YET 207;YET 207;YET 20742902;;
0188;324876;Rolamento Ya Yet207 2Rs1;YET 207;YET 207324876;;
0002;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0004;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0009;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0014;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0017;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0020;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
