field_0,dust,type,project,description,installs,links
1,656,RFP,0bin,A client-side encrypted pastebin.,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=748374
2,281,RFP,2048,Simple number game for the text console,4,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=767414
3,813,RFP,2mandvd,Video DVD creator,103,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=690593
4,149,O,2vcard,perl script to convert an addressbook to,107,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=855563
5,521,RFP,3proxy,tiny free proxy server,3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=718219
6,1479,RFP,6rd,Init Script for IPv6 6rd Transition (RFC 5969),0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=622370
7,1050,O,9base,Plan 9 userland tools,91,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=800518
8,669,O,a2ps,GNU a2ps - 'Anything to PostScript' converter and pretty[..],4052,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=840888
9,206,O,aafigure,ASCII art to image converter,43,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=719549
10,1479,RFP,abcl,A full implementation of the Common Lisp language runnin[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=608466
11,1479,RFP,abcl,A full implementation of the Common Lisp language runnin[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=701712
12,77,RFP,abduco,"lightweight session manager with {de,at}tach support",11,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=900387
13,663,O,abiword,"efficient, featureful word processor with collaboration",3109,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=740678
14,617,O,abntex,LaTeX class for writing documents in ABNT standard,132,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=847247
15,590,RFP,aces2,Advanced Concepts in Electronic Structure II,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=642472
16,1905,O,acheck-rules,Basic rules for acheck,63,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=710152
17,351,O,achilles,An artificial life and evolution simulator,93,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=873552
18,1479,RFP,acopost,collection of POS-tagger tools,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=671281
19,3087,O,acorn-fdisk,Partition editor for Acorn/RISC OS machines,25,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=572371
20,757,O,acoustid-fingerp[..],Acoustid fingerprinter,105,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=828784
21,1793,RFP,acpi-support-minimal,minimal acpi scripts,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=679078
22,1306,RFP,acrylamid,A static blog generator.,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=775556
23,1479,RFP,ad2openldap,Replication tool to populate OpenLDAP with objects from AD,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=698825
24,155,RFP,adagios,Adagios is an alternative web configuration (and status)[..],1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=744818
25,1392,RFP,adbfuse,fuse layer for ADB,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=729259
26,962,RFP,adderall,a miniKanren implementation in Hy,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=755887
